normalized_street,street_ru,settlement_ru,district_ru,display_address_ru,address_count,unaddressed_units
гербовецкая улица,Гербовецкая улица,Бендеры,,Гербовецкая улица (Бендеры),18,12
гербовецкая улица,Гербовецкая улица,Протягайловка,,Гербовецкая улица (Протягайловка),53,201
главная улица,Главная улица,Бендеры,,Главная улица (Бендеры),2,5
главная улица,Главная улица,Протягайловка,,Главная улица (Протягайловка),45,362
коммунистическая улица,Коммунистическая улица,Бендеры,,Коммунистическая улица (Бендеры),149,133
коммунистическая улица,Коммунистическая улица,Парканы,,Коммунистическая улица (Парканы),38,69
комсомольская улица,Комсомольская улица,Бендеры,,Комсомольская улица (Бендеры),100,84
комсомольская улица,Комсомольская улица,Парканы,,Комсомольская улица (Парканы),169,265
комсомольская улица,Комсомольская улица,Протягайловка,,Комсомольская улица (Протягайловка),16,78
молодёжная улица,Молодёжная улица,Бендеры,,Молодёжная улица (Бендеры),9,12
молодёжная улица,Молодёжная улица,Гиска,,Молодёжная улица (Гиска),7,76
молодёжная улица,Молодёжная улица,Парканы,,Молодёжная улица (Парканы),126,101
молодёжная улица,Молодёжная улица,Протягайловка,,Молодёжная улица (Протягайловка),3,8
октябрьская улица,Октябрьская улица,Бендеры,,Октябрьская улица (Бендеры),20,9
октябрьская улица,Октябрьская улица,Гиска,,Октябрьская улица (Гиска),6,35
первомайская улица,Первомайская улица,Бендеры,,Первомайская улица (Бендеры),145,70
первомайская улица,Первомайская улица,Гиска,,Первомайская улица (Гиска),6,15
первомайская улица,Первомайская улица,Протягайловка,,Первомайская улица (Протягайловка),65,158
первомайский переулок,Первомайский переулок,Бендеры,,Первомайский переулок (Бендеры),18,22
первомайский переулок,Первомайский переулок,Протягайловка,,Первомайский переулок (Протягайловка),13,15
переулок мира,переулок Мира,Бендеры,,переулок Мира (Бендеры),2,6
переулок мира,переулок Мира,Гиска,,переулок Мира (Гиска),4,4
переулок суворова,переулок Суворова,Бендеры,,переулок Суворова (Бендеры),32,36
переулок суворова,переулок Суворова,Гиска,,переулок Суворова (Гиска),6,28
пионерская улица,Пионерская улица,Бендеры,,Пионерская улица (Бендеры),19,13
пионерская улица,Пионерская улица,Парканы,,Пионерская улица (Парканы),27,75
садовая улица,Садовая улица,Бендеры,,Садовая улица (Бендеры),98,61
садовая улица,Садовая улица,Гиска,,Садовая улица (Гиска),16,65
садовая улица,Садовая улица,Парканы,,Садовая улица (Парканы),121,180
садовая улица,Садовая улица,Протягайловка,,Садовая улица (Протягайловка),24,33
санаторная улица,Санаторная улица,Бендеры,,Санаторная улица (Бендеры),6,5
санаторная улица,Санаторная улица,Протягайловка,,Санаторная улица (Протягайловка),24,4
улица бориса главана,улица Бориса Главана,Бендеры,,улица Бориса Главана (Бендеры),42,52
улица бориса главана,улица Бориса Главана,Гиска,,улица Бориса Главана (Гиска),8,37
улица гагарина,улица Гагарина,Бендеры,,улица Гагарина (Бендеры),41,31
улица гагарина,улица Гагарина,Гиска,,улица Гагарина (Гиска),13,78
улица гагарина,улица Гагарина,Парканы,,улица Гагарина (Парканы),44,62
улица гоголя,улица Гоголя,Бендеры,,улица Гоголя (Бендеры),60,34
улица гоголя,улица Гоголя,Гиска,,улица Гоголя (Гиска),6,56
улица гоголя,улица Гоголя,Парканы,,улица Гоголя (Парканы),50,100
улица горького,улица Горького,Бендеры,,улица Горького (Бендеры),15,20
улица горького,улица Горького,Парканы,,улица Горького (Парканы),180,232
улица димитрова,улица Димитрова,Бендеры,,улица Димитрова (Бендеры),25,7
улица димитрова,улица Димитрова,Парканы,,улица Димитрова (Парканы),29,80
улица дружбы,улица Дружбы,Бендеры,,улица Дружбы (Бендеры),2,4
улица дружбы,улица Дружбы,Парканы,,улица Дружбы (Парканы),17,9
улица интернационалистов,улица Интернационалистов,Бендеры,,улица Интернационалистов (Бендеры),15,12
