model_id,address_a,address_b,street_a,distance_m,zone_a,zone_b,fee_a_rub,fee_b_rub,price_jump_rub
CITY_K4R_dp_optimal_jenks,n2321993999,w222764128,Путейская улица,136.1,4,2,28,13,15
CITY_K4R_dp_optimal_jenks,n2321993999,w295009405,Путейская улица,185.2,4,2,28,13,15
CITY_K4R_dp_optimal_jenks,n2321993999,w295009406,Путейская улица,199.2,4,2,28,13,15
CITY_K4R_dp_optimal_jenks,n2321993999,w295009407,Путейская улица,213.4,4,2,28,13,15
CITY_K4R_dp_optimal_jenks,n2321993999,w302368270,Путейская улица,239.2,4,2,28,13,15
CITY_K4R_dp_optimal_jenks,n2321994003,w222764128,улица Тургенева,195.9,4,2,28,13,15
CITY_K4R_dp_optimal_jenks,n2321994003,w295009405,улица Тургенева,248.8,4,2,28,13,15
CITY_K4R_dp_optimal_jenks,n2334331706,w302370519,Кишинёвская улица,237.9,4,1,28,13,15
CITY_K4R_dp_optimal_jenks,n2334331709,w302370519,Кишинёвская улица,194.0,4,1,28,13,15
CITY_K4R_dp_optimal_jenks,n5172818452,w302370519,Кишинёвская улица,196.8,4,1,28,13,15
CITY_K4R_dp_optimal_jenks,n5172818844,w302370519,Кишинёвская улица,225.4,4,1,28,13,15
CITY_K4R_dp_optimal_jenks,n5172819425,w302370519,Кишинёвская улица,207.5,4,1,28,13,15
CITY_K4R_dp_optimal_jenks,w107683766,w299956671,улица Сергея Лазо,207.2,1,4,13,28,15
CITY_K4R_dp_optimal_jenks,w165631093,w303915656,улица Дзержинского,238.5,1,4,13,28,15
CITY_K4R_dp_optimal_jenks,w165631109,w303915656,улица Дзержинского,249.8,1,4,13,28,15
CITY_K4R_dp_optimal_jenks,w222764128,w301982100,улица Георге Асаке,150.1,2,4,13,28,15
CITY_K4R_dp_optimal_jenks,w222764128,w302074727,улица Георге Асаке,216.1,2,4,13,28,15
CITY_K4R_dp_optimal_jenks,w222764128,w302074728,улица Георге Асаке,191.4,2,4,13,28,15
CITY_K4R_dp_optimal_jenks,w222764128,w302074735,улица Георге Асаке,246.8,2,4,13,28,15
CITY_K4R_dp_optimal_jenks,w222773039,w299956671,улица Дзержинского,208.2,1,4,13,28,15
CITY_K4R_dp_optimal_jenks,w290851742,w299956671,улица Академика Фёдорова,182.6,1,4,13,28,15
CITY_K4R_dp_optimal_jenks,w295009405,w301982100,улица Георге Асаке,201.8,2,4,13,28,15
CITY_K4R_dp_optimal_jenks,w295009405,w302074728,улица Георге Асаке,239.0,2,4,13,28,15
CITY_K4R_dp_optimal_jenks,w295009406,w301982100,улица Георге Асаке,212.8,2,4,13,28,15
CITY_K4R_dp_optimal_jenks,w295009407,w301982100,улица Георге Асаке,225.7,2,4,13,28,15
CITY_K4R_dp_optimal_jenks,w301982100,w302368270,улица Старого,248.3,4,2,28,13,15
